s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
27505,26845,32312,34396,31954,32003,31919,26709,31352,32728,27870,29597
27495,26841,32316,34390,31960,32005,31922,26746,31340,32741,27878,29599
27502,26841,32327,34390,31958,32008,31939,26768,31331,32733,27878,29590
27504,26844,32326,34385,31958,32022,31940,26820,31280,32748,27878,29582
27533,26856,32365,34412,31972,32050,31977,26893,31265,32775,27886,29600
27543,26865,32381,34418,31967,32062,31966,26883,31258,32767,27898,29606
27542,26866,32379,34422,31981,32059,31990,26933,31267,32787,27902,29612
27527,26856,32373,34406,31973,32049,31968,26793,31285,32780,27884,29599
27497,26811,32275,34380,31954,32024,31937,26670,31273,32707,27732,29577
27503,26802,32228,34387,31934,31929,31890,26515,31485,32668,27635,29594
27497,26790,32189,34421,31944,31885,31870,26813,31439,32669,27644,29600
27541,26815,32174,34463,31950,31823,31884,26745,31447,32684,27600,29623
27553,26823,32207,34485,31943,31890,31934,26681,31547,32760,27737,29620
27563,26866,32370,34456,31958,32116,32056,27056,31407,32811,27820,29615
27536,26929,32507,34415,31955,32198,32107,28046,30852,32923,27898,29511
27512,26923,32521,34270,31925,32289,32152,28830,31148,32938,27939,29261
27498,26910,32521,34185,31915,32306,32245,29459,31272,32942,27950,29135
27489,26916,32529,34170,31912,32313,32290,29612,31589,32947,27931,29005
27497,26914,32535,34153,31907,32330,32327,29702,31663,32938,27938,29006
27504,26922,32566,34161,31910,32356,32345,29723,31671,32938,27936,29024
27504,26922,32579,34176,31934,32364,32353,29710,31702,32929,27955,29043
27501,26905,32570,34159,31932,32365,32332,29758,31793,32884,27920,29044
27457,26865,32518,34149,31939,32322,32275,29608,31837,32853,27875,29046
27443,26851,32495,34142,31920,32306,32255,28622,31950,32800,27809,29169
27435,26844,32478,34172,31927,32273,32235,27950,32068,32801,27779,29255
27438,26843,32496,34192,31933,32327,32224,27703,32130,32807,27789,29292
27452,26835,32489,34201,31934,32329,32232,27534,32102,32818,27781,29322
27454,26849,32494,34227,31940,32339,32240,27452,32069,32821,27783,29361
27449,26828,32468,34231,31929,32303,32232,27441,32046,32820,27747,29355
27432,26819,32444,34230,31927,32282,32196,27370,31982,32804,27714,29355
27430,26825,32451,34235,31916,32326,32189,27349,31944,32823,27783,29390
27435,26837,32480,34260,31915,32396,32198,27238,31940,32831,27799,29462
27457,26854,32501,34275,31914,32488,32208,27256,31955,32883,27866,29460
27479,26884,32579,34286,31913,32670,32287,27717,31750,33006,28065,29443
27563,26975,32713,34317,31929,32873,32400,28622,31429,33055,28135,29292
27610,27014,32767,34323,31920,32960,32609,29343,31602,33197,28242,29170
27736,27063,32816,34364,31915,33486,32865,29531,31498,33383,28222,29131
27770,27068,32797,34384,31943,33582,32874,29515,31520,33369,28010,29186
27768,27058,32778,34397,31943,33633,32875,29496,31547,33340,27901,29187
27730,27048,32739,34386,31929,33680,32876,29424,31543,33318,27923,29180
27703,27048,32752,34391,31897,33840,32855,29426,31545,33305,28002,29152
27701,27057,32780,34390,31906,34158,32853,29446,31570,33264,28069,29132
27704,27085,32862,34382,31898,34483,32840,29416,31586,33222,28129,29153
27717,27157,32875,34375,31870,34620,32831,29290,31572,33220,28282,29262
27758,27205,32928,34361,31852,34709,32849,28923,31640,33207,28185,29350
27771,27256,33015,34386,31901,34493,32900,28526,31880,33175,28098,29348
27757,27258,33023,34335,31900,34457,32905,28369,31930,33068,27915,29360
