s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
25500,26308,31728,33587,31920,25935,32766,30665,35052,31618,26859,30942
25504,26309,31732,33584,31921,25930,32760,30679,35047,31636,26871,30939
25503,26310,31739,33585,31915,25935,32752,30671,35047,31639,26887,30941
25490,26304,31744,33583,31911,25943,32760,30674,35047,31641,26894,30950
25513,26316,31747,33596,31916,25936,32771,30684,35048,31646,26900,30942
25514,26318,31750,33587,31921,25942,32769,30696,35047,31646,26911,30952
25527,26314,31753,33592,31919,25945,32774,30775,34983,31673,26892,30934
25552,26336,31801,33572,31898,25990,32807,30957,34978,31708,26810,30846
25566,26333,31793,33562,31896,26005,33041,31538,34919,31780,26861,30671
25576,26342,31934,33562,31915,26027,33133,31817,34886,31834,26880,30665
25554,26359,31970,33524,31919,26016,33136,31907,34872,31841,26850,30654
25516,26349,31976,33518,31919,26010,33115,31928,34881,31794,26870,30667
25505,26320,31883,33522,31927,25980,33060,31447,35071,31678,26864,30713
25462,26295,31826,33512,31927,25941,32998,31042,35156,31605,26908,30844
25352,26283,31779,33503,31916,25889,32878,30403,35444,31371,26885,30930
24908,26278,31795,33517,31877,25834,32739,30244,35732,31177,26889,30978
24750,26265,31763,33468,31835,25779,32633,30103,35783,31122,26890,30966
24725,26271,31737,33449,31822,25722,32501,29832,35841,31097,26874,30945
24689,26275,31723,33440,31810,25707,32457,29691,36028,31055,26871,30937
24667,26254,31680,33434,31781,25706,32425,29695,36242,30981,26858,30949
24655,26245,31637,33430,31770,25649,32389,29603,36667,30844,26766,31007
24599,26216,31618,33413,31748,25572,32363,29536,36561,30731,26709,31046
24571,26209,31640,33405,31742,25559,32359,29546,36562,30712,26678,31104
24583,26214,31655,33422,31736,25566,32354,29541,36596,30706,26740,31127
24621,26231,31720,33444,31741,25586,32352,29570,36603,30719,26766,31146
24668,26245,31788,33455,31731,25605,32370,29561,36594,30756,26793,31149
24764,26296,31805,33452,31739,25625,32353,29536,36439,30803,26811,31138
24755,26252,31799,33439,31733,25633,32346,29525,36304,30797,26814,31123
24774,26254,31819,33443,31735,25633,32350,29522,36228,30833,26834,31118
24780,26253,31837,33434,31735,25640,32342,29504,36113,30864,26850,31104
24859,26264,31876,33443,31737,25649,32350,29407,36073,30883,26882,31085
24920,26258,31881,33440,31741,25653,32354,29396,35971,30903,26901,31059
24930,26255,31881,33420,31745,25626,32328,29366,35949,30913,26915,31042
24921,26257,31860,33415,31748,25620,32312,29324,35938,30919,26918,31028
24922,26249,31862,33416,31753,25621,32308,29305,35950,30934,26937,31023
24924,26245,31859,33418,31765,25612,32303,29284,35954,30949,26959,31001
24942,26243,31829,33409,31769,25608,32279,29260,35942,30941,26965,30986
24949,26243,31827,33410,31765,25605,32280,29228,35975,30934,26960,30991
24945,26243,31791,33387,31769,25577,32264,29185,36066,30885,26926,31007
24942,26257,31744,33403,31785,25532,32239,29164,36170,30854,26926,30995
24917,26272,31730,33414,31798,25508,32227,29106,36535,30776,26911,31006
24912,26271,31746,33435,31781,25465,32199,29159,36737,30709,26895,31032
24881,26278,31724,33471,31782,25439,32202,29235,36763,30689,26877,31032
24860,26287,31715,33476,31779,25438,32185,29220,36780,30671,26908,31042
24857,26279,31717,33476,31779,25445,32179,29262,36807,30660,26910,31045
24859,26275,31707,33477,31757,25435,32178,29275,36831,30650,26894,31048
24849,26274,31710,33478,31761,25443,32124,29283,36848,30604,26875,31080
24852,26275,31715,33481,31755,25433,32108,29261,36868,30573,26886,31090
24853,26280,31700,33484,31747,25441,32108,29246,36880,30566,26882,31096
24841,26281,31666,33485,31746,25435,32112,29195,36860,30455,26765,31253
24599,26395,31580,33649,31796,25192,32234,29179,36715,30127,26108,31416
25126,26722,31685,34207,31881,24926,32185,28132,36645,30020,25719,31845
25222,27045,32208,34515,31818,25032,32445,26061,36562,29866,24195,32282
25073,27278,32960,34742,31874,25179,32483,25568,36349,29715,24326,32345
25008,27391,32690,34782,31894,25201,32366,25442,36098,29822,24322,32154
25070,27595,32876,35067,32036,25173,32471,25049,35661,29672,23470,32175
25173,27887,33156,35404,32126,25198,32612,24789,35812,29834,23450,32279
25278,27982,33257,35620,32413,25206,32602,24755,35899,29801,23732,32329
25301,28035,33311,35644,32327,25234,32773,24733,35704,29894,23622,32315
25272,28015,33432,35521,32308,25196,32700,23744,35023,30064,23455,32237
25376,27070,32316,34705,31872,25055,32399,23505,35015,30549,23886,30970
25593,26817,32060,34240,31807,25300,32609,30483,35187,31351,25426,30408
26150,26394,32237,33530,31581,25605,33178,32443,34765,31521,25861,30097
26369,26635,33494,33462,31455,25782,33472,33881,35037,31696,26141,29995
26386,26669,33520,33412,31509,25987,33680,35202,35250,31675,26125,29974
25991,26728,33399,33311,31524,26176,33715,35593,35408,31674,26203,30003
25412,26838,33352,33139,31466,26290,33726,35940,35518,31658,26640,30210
25152,26859,33200,32946,31168,26380,33698,36700,35720,31514,26713,30155
25542,26852,32815,32715,31061,26512,33736,37131,35826,31486,26670,30153
25468,26792,32515,32760,31088,26536,33689,37250,36018,31440,26701,30407
25486,26665,32295,32958,31170,26459,33991,37138,35559,31213,26381,30978
24543,25921,31809,33485,31770,25554,34482,29110,35820,30460,24014,31881
25426,27073,33085,34095,32048,25301,34627,25877,36707,30807,20961,33889
25973,27251,33301,34906,31729,25771,34270,24934,36948,30463,24144,33644
25652,27472,33025,35152,32095,25679,33674,24602,36415,30315,24831,33392
25499,27503,32937,35250,32366,25653,33316,24572,35779,30061,25054,32906
25505,27498,33146,35486,32411,25434,32666,23963,35871,29892,25221,32488
25321,27519,33651,35729,32055,25437,32664,23767,35806,29963,25111,32389
25515,27572,33697,35869,32341,25419,32688,23543,35350,29865,25240,31874
25875,27445,34394,35525,32014,25430,32915,23342,33776,30680,24895,30650
25328,26390,31515,33680,32470,25518,32799,21680,33560,31782,26750,30188
25966,26365,32290,33845,30825,25693,32787,29545,34026,31889,28403,29966
25865,26354,32399,33450,31721,26165,33239,33476,34671,32069,24656,29807
26129,26550,34594,33492,31707,26429,33583,32029,35039,31895,24348,29663
26069,26596,34883,33472,31587,26512,33829,32947,35182,31882,23861,29720
26142,26640,34672,33489,31668,26690,33927,33202,35395,31893,24488,29756
26220,26770,34061,33271,31496,26832,33873,33439,35570,31901,25061,29758
26221,26781,33779,33097,31391,26934,33777,34319,35852,31769,25765,29921
26016,26755,33041,32930,31275,27093,33679,34614,36095,31603,25790,30096
25300,26455,32312,33146,31510,26821,33806,33450,35876,31483,25404,30596
24957,26092,31997,33393,31673,26355,34116,28474,37225,30390,22673,32222
25387,26961,31752,34400,31738,25653,34362,25264,35959,32800,21504,32932
25196,27465,32185,34828,32186,25839,34778,25673,35866,31681,22475,33676
25421,27689,32296,34920,32236,25836,33983,25111,35183,30730,24280,32872
